cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	neighborhood	Neuronal	Glial	CTX.cluster_label	supertype.markers.combo _within subclass_	supertype.markers.combo	CCF_acronym.freq	sex.bias	cluster.markers.combo _within subclass_	nt.markers	CTX.supertype_label	v2.size	v3.size	cluster.TF.markers.combo	multiome.size	Dark	subclass.markers.combo	Light	anatomical_annotation	CTX.supertype_id	np.markers	CTX.subclass_id	cluster.markers.combo	CTX.subclass_label	CCF_broad.freq	merfish.markers.combo	CTX.size	subclass.tf.markers.combo	nt_type_label	nt_type_combo_label	CTX.cluster_id	CTX.neighborhood_id	F	CTX.neighborhood_label	M
CS20230722_CLAS_01	01 IT-ET Glut				class	CL:0000540	neuron								Pallium-Glut	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_02	02 NP-CT-L6b Glut				class	CL:0000540	neuron								Pallium-Glut	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_03	03 OB-CR Glut				class	CL:0000540	neuron								Pallium-Glut	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_04	04 DG-IMN Glut				class	CL:0000540	neuron								Pallium-Glut; NN-IMN-GC	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_05	05 OB-IMN GABA				class	CL:0000540	neuron								Subpallium-GABA; NN-IMN-GC	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_06	06 CTX-CGE GABA				class	CL:4023064	caudal ganglionic eminence derived interneuron								Subpallium-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_07	07 CTX-MGE GABA				class	CL:4023069	medial ganglionic eminence derived GABAergic interneuron								Subpallium-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_08	08 CNU-MGE GABA				class	CL:4023063	medial ganglionic eminence derived interneuron								Subpallium-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_09	09 CNU-LGE GABA				class	CL:4023035	lateral ganglionic eminence derived neuron								Subpallium-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
CS20230722_CLAS_10	10 LSX GABA				class	CL:0000540	neuron								Subpallium-GABA	Y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
